dataset,ir,n3,svm_gmean,svm_f1,svm_rec,knn_gmean,knn_f1,knn_rec,rf_gmean,rf_f1,rf_rec,mlp_gmean,mlp_f1,mlp_rec,mean_gmean,mean_f1,mean_rec,n_3_imb,n_1_imb
appendicitis,1,0.26190476190476186,0.8265284282448129,0.8146825396825397,0.76,0.8221113293790385,0.8115079365079365,0.765,0.8413364441536688,0.8115079365079365,0.8550000000000001,0.7536227983600967,0.7671428571428571,0.74,0.8108997500344042,0.8092063492063493,0.7799999999999999,0.26190476190476186,0.3333333333333333
appendicitis,2,0.17460317460317465,0.8004167739032646,0.7638888888888891,0.6799999999999999,0.7920173091151917,0.7538455988455989,0.6799999999999999,0.8213477461635419,0.7538455988455989,0.7449999999999999,0.7577054211835115,0.7040476190476189,0.655,0.7928718125913774,0.7496915584415584,0.69,0.20238095238095238,0.25
appendicitis,3,0.19047619047619047,0.7609563278888095,0.7115367965367965,0.615,0.7551808310785662,0.6841269841269841,0.62,0.7560892865125084,0.6841269841269841,0.635,0.7355029349864189,0.6428787878787878,0.6199999999999999,0.7519323451165758,0.6799332611832611,0.6224999999999999,0.2222222222222222,0.3333333333333333
appendicitis,4,0.19999999999999996,0.6765520544851369,0.5867460317460317,0.5,0.7202612767281643,0.6357142857142857,0.56,0.7286267677312183,0.6357142857142857,0.575,0.6912916987433545,0.6093650793650794,0.5800000000000001,0.7041829494219685,0.6221681096681096,0.55375,0.2857142857142857,0.4107142857142857
appendicitis,5,0.196078431372549,0.644051339235461,0.5571428571428573,0.5,0.6686912690670184,0.5700000000000001,0.4749999999999999,0.7349945304916756,0.5700000000000001,0.5916666666666666,0.6142294083035102,0.5533333333333333,0.5083333333333333,0.6654916367744164,0.5751190476190475,0.5187499999999999,0.32941176470588235,0.42352941176470593
appendicitis,6,0.202020202020202,0.4544607361448232,0.36666666666666664,0.31666666666666665,0.5692536526768975,0.4699999999999999,0.38333333333333336,0.7002903492463526,0.4699999999999999,0.5333333333333333,0.5343865706797536,0.43666666666666665,0.3833333333333333,0.5645978271869567,0.4595238095238095,0.4041666666666667,0.3861344537815126,0.4928571428571429
appendicitis,7,0.15463917525773196,0.14994484702389288,0.10666666666666666,0.13333333333333333,0.5593226825288452,0.49000000000000005,0.41666666666666663,0.6939267176898356,0.49000000000000005,0.5833333333333333,0.5312370119034993,0.445,0.4333333333333333,0.4836078147865182,0.4091666666666667,0.3916666666666666,0.33872549019607845,0.4514705882352941
appendicitis,8,0.14583333333333337,0.5777095339277436,0.5233333333333333,0.4333333333333333,0.6343176182552599,0.55,0.5333333333333333,0.7445493169685007,0.55,0.5833333333333333,0.7208633337277452,0.6271428571428571,0.6166666666666666,0.6693599507198124,0.5852380952380952,0.5416666666666665,0.31978609625668447,0.43422459893048126
appendicitis,9,0.14893617021276595,0.0,0.0,0.0,0.43864053500202493,0.32999999999999996,0.35,0.5755674007860045,0.32999999999999996,0.5,0.5117969066099021,0.4066666666666666,0.4,0.3815012105994829,0.3108333333333333,0.3125,0.3803921568627451,0.515032679738562
appendicitis,10,0.13978494623655913,0.0,0.0,0.0,0.09999999999999998,0.1,0.1,0.7048567226673498,0.1,0.65,0.49750750699669943,0.3833333333333333,0.45,0.3255910574160123,0.2841666666666667,0.30000000000000004,0.35955882352941176,0.5080882352941176
